Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
59,12,0,191,7,Some Random Commen with Id 59
60,12,0,137,1,Some Random Commen with Id 60
61,13,0,94,4,Some Random Commen with Id 61
62,14,0,97,0,Some Random Commen with Id 62
63,14,0,86,5,Some Random Commen with Id 63
64,14,0,140,4,Some Random Commen with Id 64
65,14,0,37,6,Some Random Commen with Id 65
66,14,0,18,4,Some Random Commen with Id 66
67,14,0,96,4,Some Random Commen with Id 67
68,14,0,61,4,Some Random Commen with Id 68
69,14,0,64,4,Some Random Commen with Id 69
70,15,0,10,8,Some Random Commen with Id 70
71,15,0,56,0,Some Random Commen with Id 71
72,15,0,39,0,Some Random Commen with Id 72
73,15,0,49,7,Some Random Commen with Id 73
74,16,0,1,6,Some Random Commen with Id 74
75,16,0,134,4,Some Random Commen with Id 75
76,16,0,69,4,Some Random Commen with Id 76
77,16,0,193,3,Some Random Commen with Id 77
78,16,0,76,6,Some Random Commen with Id 78
79,16,0,65,1,Some Random Commen with Id 79
80,17,9,82,2,Some Random Commen with Id 80
81,17,9,129,9,Some Random Commen with Id 81
82,17,9,121,2,Some Random Commen with Id 82
83,18,2,112,1,Some Random Commen with Id 83
84,18,2,71,0,Some Random Commen with Id 84
85,18,2,61,5,Some Random Commen with Id 85
86,18,2,157,4,Some Random Commen with Id 86
87,19,7,131,0,Some Random Commen with Id 87
88,19,7,187,0,Some Random Commen with Id 88
89,19,7,162,8,Some Random Commen with Id 89
90,19,7,62,0,Some Random Commen with Id 90
91,19,7,95,5,Some Random Commen with Id 91
92,20,6,175,8,Some Random Commen with Id 92
93,20,6,10,8,Some Random Commen with Id 93
94,20,6,110,9,Some Random Commen with Id 94
95,20,6,182,3,Some Random Commen with Id 95
96,20,6,83,1,Some Random Commen with Id 96
97,20,6,129,7,Some Random Commen with Id 97
98,20,6,164,7,Some Random Commen with Id 98
99,20,6,133,6,Some Random Commen with Id 99
100,20,6,65,5,Some Random Commen with Id 100
101,21,2,183,6,Some Random Commen with Id 101
102,21,2,182,0,Some Random Commen with Id 102
103,21,2,12,7,Some Random Commen with Id 103
104,21,2,81,7,Some Random Commen with Id 104
105,21,2,50,3,Some Random Commen with Id 105
106,21,2,126,2,Some Random Commen with Id 106
107,21,2,131,7,Some Random Commen with Id 107
108,21,2,101,5,Some Random Commen with Id 108
109,21,2,183,7,Some Random Commen with Id 109
110,24,9,114,2,Some Random Commen with Id 110
111,24,9,35,5,Some Random Commen with Id 111
112,24,9,9,0,Some Random Commen with Id 112
113,24,9,60,3,Some Random Commen with Id 113
114,24,9,122,9,Some Random Commen with Id 114
115,24,9,45,8,Some Random Commen with Id 115
116,24,9,184,9,Some Random Commen with Id 116
117,24,9,125,4,Some Random Commen with Id 117
118,24,9,1,5,Some Random Commen with Id 118
119,25,1,76,0,Some Random Commen with Id 119
120,25,1,46,7,Some Random Commen with Id 120
121,25,1,137,9,Some Random Commen with Id 121
122,25,1,80,3,Some Random Commen with Id 122
123,26,1,109,4,Some Random Commen with Id 123
124,26,1,14,7,Some Random Commen with Id 124
125,26,1,11,7,Some Random Commen with Id 125
126,27,8,56,0,Some Random Commen with Id 126
127,27,8,184,9,Some Random Commen with Id 127
128,27,8,82,4,Some Random Commen with Id 128
129,27,8,88,9,Some Random Commen with Id 129
130,27,8,110,2,Some Random Commen with Id 130
131,27,8,87,4,Some Random Commen with Id 131
132,27,8,19,4,Some Random Commen with Id 132
133,27,8,144,5,Some Random Commen with Id 133
134,27,8,130,1,Some Random Commen with Id 134
135,29,1,10,6,Some Random Commen with Id 135
136,29,1,25,4,Some Random Commen with Id 136
137,29,1,4,0,Some Random Commen with Id 137
138,29,1,1,0,Some Random Commen with Id 138
139,29,1,94,0,Some Random Commen with Id 139
140,29,1,112,4,Some Random Commen with Id 140
141,29,1,68,8,Some Random Commen with Id 141
142,29,1,35,9,Some Random Commen with Id 142
143,31,9,33,9,Some Random Commen with Id 143
144,31,9,199,4,Some Random Commen with Id 144
145,31,9,3,4,Some Random Commen with Id 145
146,31,9,156,1,Some Random Commen with Id 146
147,31,9,78,0,Some Random Commen with Id 147
148,31,9,118,5,Some Random Commen with Id 148
149,31,9,96,3,Some Random Commen with Id 149
150,32,8,7,2,Some Random Commen with Id 150
151,33,7,27,5,Some Random Commen with Id 151
152,33,7,97,7,Some Random Commen with Id 152
153,34,9,18,6,Some Random Commen with Id 153
154,34,9,17,2,Some Random Commen with Id 154
155,34,9,113,4,Some Random Commen with Id 155
156,34,9,179,4,Some Random Commen with Id 156
157,34,9,87,1,Some Random Commen with Id 157
158,34,9,135,9,Some Random Commen with Id 158
159,34,9,41,7,Some Random Commen with Id 159
160,34,9,154,8,Some Random Commen with Id 160
161,34,9,176,8,Some Random Commen with Id 161
162,35,3,38,2,Some Random Commen with Id 162
163,36,6,190,0,Some Random Commen with Id 163
164,36,6,140,8,Some Random Commen with Id 164
165,36,6,174,6,Some Random Commen with Id 165
166,36,6,121,3,Some Random Commen with Id 166
167,36,6,188,0,Some Random Commen with Id 167
168,36,6,121,3,Some Random Commen with Id 168
169,37,4,89,9,Some Random Commen with Id 169
170,37,4,103,6,Some Random Commen with Id 170
171,37,4,145,0,Some Random Commen with Id 171
172,37,4,148,2,Some Random Commen with Id 172
173,37,4,102,7,Some Random Commen with Id 173
174,38,7,53,6,Some Random Commen with Id 174
175,38,7,55,0,Some Random Commen with Id 175
176,38,7,159,5,Some Random Commen with Id 176
177,38,7,110,1,Some Random Commen with Id 177
178,38,7,61,7,Some Random Commen with Id 178
179,38,7,4,4,Some Random Commen with Id 179
180,38,7,193,7,Some Random Commen with Id 180
181,38,7,125,6,Some Random Commen with Id 181
182,38,7,134,9,Some Random Commen with Id 182
183,39,9,54,1,Some Random Commen with Id 183
184,39,9,3,9,Some Random Commen with Id 184
185,39,9,134,7,Some Random Commen with Id 185
186,39,9,121,1,Some Random Commen with Id 186
187,39,9,7,3,Some Random Commen with Id 187
